,Id,field,age,type,harvest_year,harvest_month,production,month,year,temperature,dewpoint,windspeed,Soilwater_L1,Soilwater_L2,Soilwater_L3,Soilwater_L4,Precipitation
0,0,0,19,5,2004,1,0.06407108239095315,1,2004,26.131999999999998,24.660999999999998,1.8766,0.35274,0.35191999999999996,0.34844,0.33385,360.91
1,1532,0,13,2,2004,1,0.28322784810126583,1,2004,26.131999999999998,24.660999999999998,1.8766,0.35274,0.35191999999999996,0.34844,0.33385,360.91
2,4204,0,4,5,2004,1,0.10626286386356956,1,2004,26.131999999999998,24.660999999999998,1.8766,0.35274,0.35191999999999996,0.34844,0.33385,360.91
3,1,0,19,5,2004,2,0.047657512116316636,2,2004,25.295,24.401,1.9206,0.36361,0.36376,0.36411,0.36357,484.67
4,1533,0,13,2,2004,2,0.1820675105485232,2,2004,25.295,24.401,1.9206,0.36361,0.36376,0.36411,0.36357,484.67
5,4205,0,4,5,2004,2,0.04019406057042047,2,2004,25.295,24.401,1.9206,0.36361,0.36376,0.36411,0.36357,484.67
6,2,0,19,5,2004,3,0.01686591276252019,3,2004,25.61,24.651,1.9948,0.36399000000000004,0.36383000000000004,0.36351,0.36575,460.76
7,1534,0,13,2,2004,3,0.3334388185654009,3,2004,25.61,24.651,1.9948,0.36399000000000004,0.36383000000000004,0.36351,0.36575,460.76
8,3,0,19,5,2004,4,0.025525040387722138,4,2004,26.328000000000003,24.753,1.9063,0.35677,0.35679,0.35697,0.36079,350.02
9,1535,0,13,2,2004,4,0.15991561181434602,4,2004,26.328000000000003,24.753,1.9063,0.35677,0.35679,0.35697,0.36079,350.02
10,4206,0,4,5,2004,4,0.013231402528668041,4,2004,26.328000000000003,24.753,1.9063,0.35677,0.35679,0.35697,0.36079,350.02
11,4,0,19,5,2004,5,0.04768982229402263,5,2004,26.566,24.94,1.8569,0.36002,0.36022,0.36085,0.36468,186.72
12,1536,0,13,2,2004,5,0.38217299578059066,5,2004,26.566,24.94,1.8569,0.36002,0.36022,0.36085,0.36468,186.72
13,5,0,19,5,2004,6,0.1475282714054927,6,2004,26.076999999999998,24.373,1.8734,0.35241,0.35267,0.35274,0.35567,109.45
14,1537,0,13,2,2004,6,0.30495780590717303,6,2004,26.076999999999998,24.373,1.8734,0.35241,0.35267,0.35274,0.35567,109.45
15,2332,0,3,3,2004,6,0.007334963325183375,6,2004,26.076999999999998,24.373,1.8734,0.35241,0.35267,0.35274,0.35567,109.45
16,4207,0,4,5,2004,6,0.04836812702146427,6,2004,26.076999999999998,24.373,1.8734,0.35241,0.35267,0.35274,0.35567,109.45
17,6,0,19,5,2004,7,0.3682714054927304,7,2004,26.182,23.648000000000003,1.8517,0.34244,0.34307,0.34552,0.35143,173.3
18,1538,0,13,2,2004,7,0.08913502109704641,7,2004,26.182,23.648000000000003,1.8517,0.34244,0.34307,0.34552,0.35143,173.3
19,2333,0,3,3,2004,7,0.012224938875305626,7,2004,26.182,23.648000000000003,1.8517,0.34244,0.34307,0.34552,0.35143,173.3
20,4208,0,4,5,2004,7,0.06709791237871214,7,2004,26.182,23.648000000000003,1.8517,0.34244,0.34307,0.34552,0.35143,173.3
21,7,0,19,5,2004,8,0.43919224555735065,8,2004,26.596999999999998,23.918000000000003,1.9428,0.32118,0.32079,0.32168,0.33193,169.62
22,1539,0,13,2,2004,8,0.15685654008438818,8,2004,26.596999999999998,23.918000000000003,1.9428,0.32118,0.32079,0.32168,0.33193,169.62
23,2334,0,3,3,2004,8,0.016748166259168706,8,2004,26.596999999999998,23.918000000000003,1.9428,0.32118,0.32079,0.32168,0.33193,169.62
24,4209,0,4,5,2004,8,0.019347250808585712,8,2004,26.596999999999998,23.918000000000003,1.9428,0.32118,0.32079,0.32168,0.33193,169.62
25,8,0,19,5,2004,9,0.4110823909531504,9,2004,27.035999999999998,24.233,2.0291,0.32211999999999996,0.32032,0.31890999999999997,0.32213,139.82
26,1540,0,13,2,2004,9,0.4337552742616033,9,2004,27.035999999999998,24.233,2.0291,0.32211999999999996,0.32032,0.31890999999999997,0.32213,139.82
27,2335,0,3,3,2004,9,0.0801955990220049,9,2004,27.035999999999998,24.233,2.0291,0.32211999999999996,0.32032,0.31890999999999997,0.32213,139.82
28,4210,0,4,5,2004,9,0.012231696559835343,9,2004,27.035999999999998,24.233,2.0291,0.32211999999999996,0.32032,0.31890999999999997,0.32213,139.82
29,9,0,19,5,2004,10,0.4294668820678513,10,2004,27.601999999999997,23.498,2.3076,0.29262,0.29302,0.29996,0.31129,221.24
30,1541,0,13,2,2004,10,0.19356540084388185,10,2004,27.601999999999997,23.498,2.3076,0.29262,0.29302,0.29996,0.31129,221.24
31,2336,0,3,3,2004,10,0.16650366748166262,10,2004,27.601999999999997,23.498,2.3076,0.29262,0.29302,0.29996,0.31129,221.24
